movie_name,actors_List,genre_list 
The Manchurian Candidate,"{'Frank Sinatra': 'Major Bennett Marco', 'Laurence Harvey': 'Raymond Shaw', 'Albert Paulsen': 'Zilkov', 'Angela Lansbury': 'Mrs. Iselin', 'Barry Kelley': 'Secretary Of Defense', 'Douglas Henderson': 'Colonel Milt', 'Henry Silva': 'Chunjin', 'James Edwards': 'Corporal Allen Melvin', 'James Gregory': 'Senator John Yerkes Iselin', 'Janet Leigh': 'Eugenie Rose Chaney', 'John McGiver': 'Senator Thomas Jordan', 'Khigh Dhiegh': 'Dr. Yen Lo', 'Leslie Parrish': 'Jocelyn Jordan', 'Lloyd Corrigan': 'Holborn Gaines', 'Madame Spivy': 'Female Berezovo'}","['Drama', 'Mystery', 'Thriller']"
Mr. Turner,"{'Amy Dawson': 'Georgiana Danby', 'Dorothy Atkinson': 'Hannah Danby', 'Karl Johnson': 'Mr. Booth', 'Lesley Manville': 'Mary Somerville', 'Marion Bailey': 'Sophia Booth', 'Paul Jesson': 'William Turner', 'Ruth Sheen': 'Sarah Danby', 'Sandy Foster': 'Evelina', 'Timothy Spall': 'J.M.W. Turner', 'Alice Orr-Ewing': 'Second Young Lady', 'Billy Holland': 'Baker Boy', 'Fenella Woolgar': 'Lady Eastlake', 'Fred Pearson': 'Sir William Beechey', 'James Fleet': 'John Constable', 'James Norton': 'Francis Willoughby', 'Jamie Thomas King': 'David Roberts', 'John Duggan': 'Theatre Patron', 'John Warman': 'Eastlake Servant', 'Joshua McGuire': 'John Ruskin', 'Julian Seager': 'Ships Helmsman', 'Katherine Denkinson': 'Theatre- Goer', 'Lasco Atkins': 'Market Customer', 'Lee Ingleby': 'Unhappy Couple', 'Leo Bill': 'JE Mayall', 'Mark Stanley': 'Clarkson Stanfield', 'Mark Wingett': 'Mariner', 'Martin Savage': 'Benjamin Robert Haydon', 'Niall Buggy': 'John Carew', 'Oliver Maltman': 'Cast', 'Peter Wight': 'Joseph Gillott', 'Richard Bremmer': 'George Jones', 'Richard Dixon': 'Mr. Manners', 'Robert Portal': 'Sir Charles Eastlake', 'Roger Ashton-Griffiths': 'Henry William Pickersgill', 'Ruby Bentall': 'Unhappy Couple', 'Sinead Matthews': 'Queen Victoria', 'Stuart Matthews': 'Market Trader', 'Sylvestra Le Touzel': ""Ruskin's Mother"", 'Tom Edden': 'CR Leslie', 'Tom Wlaschiha': 'Prince Albert'}","['Biography', 'Drama', 'History']"
The Irishman,"{'Al Pacino': 'Jimmy Hoffa', 'Aleksa Palladino': 'Mary Sheeran', 'Anna Paquin': 'Peggy Sheeran', 'Bobby Cannavale': 'Skinny Razor', 'Dascha Polanco': 'Nurse', 'Harvey Keitel': 'Angelo Bruno', 'Jack Huston': 'Cast', 'Jake Hoffman': 'Allen Dorfman', 'Jesse Plemons': ""Chuckie O'Brien"", 'Joe Pesci': 'Russell Bufalino', 'Kathrine Narducci': 'Carrie Bufalino', 'Ray Romano': 'Bill Bufalino', 'Robert De Niro': 'Frank Sheeran', 'Sebastian Maniscalco': ""Joseph 'Crazy Joe' Gallo"", 'Stephanie Kurtzuba': 'Irene Sheeran', 'Stephen Graham': 'Anthony Provenzano', 'Steve Van Zandt': 'Jerry Vale', 'Aly Mang': 'The Coat Check Girl', 'Domenick Lombardozzi': 'Fat Tony Salerno', 'Gary Basaraba': ""Frank 'Fitz' Fitzsimmons"", 'India Ennenga': 'Dolores Sheeran', 'Joseph Russo': 'Stephen Andretta', 'Paul Ben-Victor': 'Cast', 'Paul Herman': 'Whispers DiTullio', 'Sharon Pfeiffer': 'The Manicurist'}","['Biography', 'Drama', 'History', 'Thriller', 'Crime']"
Amazing Grace,"{'Alan Elliott': 'Producer', 'Alexandra Johnes': 'Executive Producer', 'Angie Seegers': 'Producer', 'Joe Boyd': 'Producer', 'Joey Carey': 'Executive Producer', 'Joseph Woolf': 'Producer', 'Rob Johnson': 'Producer', 'Sabrina V. Owens': 'Producer', 'Stefan Nowicki': 'Executive Producer', 'Tirrell D. Whittley': 'Producer'}",['Documentary']
Grave of the Fireflies (1988),"{'Akemi Yamaguchi': 'Aunt', 'Ayano Shiraishi': 'Setsuko', 'Justin Doran': 'Additional Voices (Sentai Filmworks Dub)', 'Luci Christian': 'Additional Voices (Sentai Filmworks Dub)', 'Marcy Bannor': 'Aunt (Sentai Filmworks Dub)', 'Shannon Conley': 'Additional Voices (Central Park Media Dub)', 'Shelley Calene-Black': 'Mother (Sentai Filmworks Dub)', 'Tadashi Nakamura': 'Principal Cast', 'Tsutomu Tatsumi': 'Seita', 'Yoshiko Shinohara': 'Mother', 'Adam Gibbs': 'Seita (Sentai Filmworks Dub)', 'Amy Jones': 'Aunt (Central Park Media Dub)', 'Crispin Freeman': 'Doctors/Old Man (Central Park Media Dub)', 'Dan Green': 'Additional Voices (Central Park Media Dub)', 'Susan O. Koozin': 'Additional Voices (Sentai Filmworks Dub)'}","['Drama', 'War', 'Animation']"
The Wild Child,"{'Annie Miller': 'Madame Lemeri', 'Claude Miller': 'Monsieur Lemeri', 'François Truffaut': 'Le Dr Jean Itard', 'Françoise Seigner': 'Madame Guerin', 'Jean Dasté': 'Professor Philippe Pinel', 'Jean Gruault': 'Visitor At Institute', 'Jean-Pierre Cargol': ""Victor, L'enfant Sauvage"", 'Mathieu Schiffman': 'Mathieu', 'Nathan Miller': 'Baby Lemeri', 'Paul Villé': 'Remy', 'Eva Truffaut': 'Girl At Farm', 'Gitt Magrini': 'Countrywoman', 'Jean-François Stévenin': 'Countryman', 'Laura Truffaut': 'Girl At Farm', 'Robert Cambourakis': 'Countryman'}",['Drama']
Petite Maman,"{'Florès Cardo': 'Dame Maison De Retraite', 'Gabrielle Sanz': 'Marion', 'Guylène Péan': 'Dame Maison De Retraite', 'Josée Schuller': 'Dame Maison De Retraite', 'Joséphine Sanz': 'Nelly', 'Margot Abascal': 'La Grand-Mère', 'Nina Meurisse': 'La Mère', 'Stéphane Varupenne': 'Le Père', 'Bénédicte Couvreur': 'Producer', 'Cécile Négrier': 'Co-Producer', 'Claire Langmann': 'Line Producer'}",['Drama']
Shadow of a Doubt,"{'Charles Bates': 'Roger Newton', 'Edna May Wonacott': 'Ann Newton', 'Henry Travers': 'Joseph Newton', 'Hume Cronyn': 'Herbie Hawkins', 'Irving Bacon': 'Station Master', 'Joseph Cotten': 'Charlie Oakley', 'Macdonald Carey': 'Jack Graham', 'Patricia Collinge': 'Emma Newton', 'Teresa Wright': 'Charlie Newton', 'Wallace Ford': 'Fred Saunders', 'Bill Bates': 'Undetermined Role', 'Clarence Muse': 'Pullman Porter', 'Estelle Jewell': 'Catherine', 'Janet Shaw': 'Louise Finch', 'Virginia Brissac': 'Mrs. Phillips'}",['Thriller']
Inside Out,"{'Amy Poehler': 'Joy', 'Bill Hader': 'Fear', 'Lewis Black': 'Anger', 'Mindy Kaling': 'Disgust', 'Phyllis Smith': 'Sadness', 'Bob Bergen': 'Additional Voices', 'Bobby Moynihan': 'Forgetter Bobby', 'Carlos Alazraqui': ""Father's Fear/Brazilian Helicopter Pilot"", 'Danny Mann': 'Additional Voices', 'Dave Goelz': 'Subconscious Guard Frank', 'Diane Lane': 'Mom', 'Flea': 'Mind Worker Cop Jake', 'Frank Oz': 'Subconscious Guard Dave', 'Jess Harnell': 'Additional Voices', 'John Cygan': 'Additional Voices', 'John Ratzenberger': 'Fritz', 'Josh Cooley': 'Jangles', 'Kaitlyn Dias': 'Riley', 'Kyle MacLachlan': 'Dad', 'Laraine Newman': ""Mother's Fear"", 'Lori Alan': ""Mother's Sadness"", 'Paris Van Dyke': 'Meg', 'Paula Pell': ""Dream Director/Mom's Anger"", 'Paula Poundstone': 'Forgetter Paula', 'Rashida Jones': ""Cool Girl's Emotions"", 'Richard Kind': 'Bing Bong', 'Sherry Lynn': ""Mother's Joy"", 'Teresa Ganzel': 'Additional Voices'}","['Adventure', 'Drama', 'Fantasy', 'Comedy', 'Animation', 'Family']"
Sideways,"{'Paul Giamatti': 'Miles', 'Sandra Oh': 'Stephanie', 'Thomas Haden Church': 'Jack', 'Virginia Madsen': 'Maya', 'Alysia Reiner': 'Christine Erganian', 'Jessica Hecht': 'Victoria', 'Joe Marinelli': 'Frass Canyon Pourer', 'M.C. Gainey': ""Cammi's Husband"", 'Marylouise Burke': ""Miles's Mother"", 'Missy Doty': 'Cammi', 'Patrick Gallagher': 'Gary The Bartender', 'Robert Covarrubias': ""Miles's Building Manager"", 'Shake Tukhmanyan': 'Mrs. Erganian', 'Shaun Duke': 'Mike Erganian', 'Stephanie Faracy': ""Stephanie's Mother""}","['Drama', 'Comedy', 'Romance']"
Schindler's List,"{'Liam Neeson': 'Oskar Schindler', 'Ralph Fiennes': 'Amon Goeth', 'Andrzej Seweryn': 'Julian Scherner', 'Béatrice Macola': 'Ingrid', 'Ben Kingsley': 'Itzhak Stern', 'Caroline Goodall': 'Emilie Schindler', 'Embeth Davidtz': 'Helen Hirsch', 'Friedrich von Thun': 'Rolf Czurda', 'Harry Nehring': 'Leo John', 'Jonathan Sagall': 'Poldek Pfefferberg', 'Krzysztof Luft': 'Herman Toffel', 'Malgoscha Gebel': 'Wiktoria Klonowska', 'Mark Ivanir': 'Marcel Goldberg', 'Norbert Weisser': 'Albert Hujar', 'Shmuel Levy': 'Wilek Chilowicz'}","['Biography', 'Drama', 'History', 'War']"
Meet Me in St. Louis,"{'Harry Davenport': 'Grandpa', 'Henry H. Daniels Jr.': 'Lon Smith Jr.', 'Judy Garland': 'Esther Smith', 'June Lockhart': 'Lucille Ballard', 'Leon Ames': 'Mr. Alonzo Smith', 'Lucille Bremer': 'Rose Smith', ""Margaret O'Brien"": ""'Tootie' Smith"", 'Marjorie Main': 'Katie (Maid)', 'Mary Astor': 'Mrs. Anna Smith', 'Tom Drake': 'John Truett', 'Chill Wills': 'Mr. Neely', 'Hugh Marlowe': 'Col. Darly', 'Joan Carroll': 'Agnes Smith', 'Robert Sully': 'Warren Sheffield', 'Sidney Barnes': 'Hugo Borvis'}","['Drama', 'Comedy', 'Romance', 'Music', 'Family']"
The Apartment,"{'David Lewis': 'Al Kirkeby', 'Fred MacMurray': 'Jeff D. Sheldrake', 'Hope Holiday': 'Mrs. Margie MacDougall', 'Jack Kruschen': 'Dr. Dreyfuss', 'Jack Lemmon': 'C.C. Baxter', 'Joan Shawlee': 'Sylvia', 'Johnny Seven': 'Karl Matuschka', 'Naomi Stevens': 'Mrs. Mildred Dreyfuss', 'Ray Walston': 'Joe Dobisch', 'Shirley MacLaine': 'Fran Kubelik', 'David White': 'Mr. Eichelberger', 'Dorothy Abbott': 'Office Worker', 'Edie Adams': 'Miss Olsen', 'Joyce Jameson': 'The Blonde', 'Willard Waterman': 'Mr. Vanderhoff'}","['Drama', 'Comedy', 'Romance']"
Apocalypse Now,"{'Marlon Brando': 'Colonel Walter E. Kurtz', 'Martin Sheen': 'Captain Benjamin L. Willard', 'Albert Hall': 'Chief Phillips', 'Bo Byers': 'MP Sergeant #1', 'Dennis Hopper': 'Photojournalist', 'Frederic Forrest': ""Jay 'Chef' Hicks"", 'G.D. Spradlin': 'General Corman', 'Harrison Ford': 'Colonel Lucas', 'James Keane': ""Kilgore's Gunner"", 'Jerry Ziesmer': 'Jerry, Civilian', 'Kerry Rossall': 'Mike From San Diego', 'Laurence Fishburne': ""Tyrone 'Clean' Miller"", 'Robert Duvall': 'Lieutenant Colonel Bill Kilgore', 'Sam Bottoms': 'Lance B. Johnson', 'Scott Glenn': 'Lieutenant Richard M. Colby'}","['Action', 'Drama', 'War']"
The Gunfighter,"{'Anthony Ross': 'Deputy Charlie Norris', 'Ellen Corby': 'Mrs. Devlin', 'Gregory Peck': 'Jimmy Ringo', 'Helen Westcott': 'Peggy Walsh', 'Jean Parker': 'Molly', 'Karl Malden': 'Mac', 'Millard Mitchell': 'Marshal Mark Strett', 'Richard Jaeckel': 'Eddie', 'Skip Homeier': 'Hunt Bromley', 'Verna Felton': 'Mrs. August Pennyfeather', 'Beulah Archuletta': 'Indian Woman', 'C.E. Anderson': 'Street Loafer', 'Carl Andre': 'Street Loafer', 'Murray Alper': 'Townsman At Funeral', 'Victor Adamson': 'Townsman At Funeral'}",['Western']
We Were Here,{'David Weissman': 'Producer'},['Documentary']
Lady Bird,"{'Andy Buckley': 'Matt', 'Beanie Feldstein': 'Julie Steffans', 'Danielle Macdonald': 'Another Young Lady', 'Jake McDorman': 'Mr. Bruno', 'Jordan Rodrigues': 'Miguel McPherson', 'Kathryn Newton': 'Darlene', 'Kristen Cloke': 'Ms. Steffans', 'Laura Marano': 'Diana Greenway', 'Laurie Metcalf': 'Marion McPherson', 'Lois Smith': 'Sister Sarah Joan', 'Lucas Hedges': 'Danny', 'Odeya Rush': 'Jenna Walton', 'Saoirse Ronan': 'Lady Bird McPherson', 'Stephen Henderson': 'Father Leviatch', 'Timothée Chalamet': 'Kyle Scheible', 'Tracy Letts': 'Larry McPherson', 'Bayne Gibby': 'Casey Kelly', 'Christina Offley': 'Cast', 'Daniel Zovatto': 'Jonah Ruiz', 'John Karna': 'Greg Anrue', 'Marielle Scott': 'Shelly Yuhan'}","['Drama', 'Comedy']"
Chimes at Midnight,"{'Andrés Mejuto': 'Principal Cast', 'Jeanne Moreau': 'Doll Tearsheet', 'John Gielgud': 'Henry IV', 'Julio Peña': 'Vassall', 'Margaret Rutherford': 'Mistress Quickly', 'Marina Vlady': 'Kate Percy', 'Michael Aldridge': 'Pistol', 'Orson Welles': 'Falstaff', 'Tony Beckley': 'Ned Poins', 'Walter Chiari': 'Mr. Silence', 'Alan Webb': 'Shallow', 'Fernando Rey': 'Worcester', 'Jeremy Rowe': 'Prince John', 'Keith Baxter': 'Prince Hal', 'Keith Pyott': 'Lord Chief Justice'}","['Drama', 'History', 'Comedy', 'War']"
The Lord of the Rings: The Return of the King,"{'Andy Serkis': 'Gollum', 'Orlando Bloom': 'Legolas', 'Alexandra Astin': 'Elanor Gamgee', 'Alistair Browning': 'Damrod', 'Bernard Hill': 'Theoden', 'Billy Boyd': 'Pippin', 'Cate Blanchett': 'Galadriel', 'David Aston': 'Gondorian Soldier 3', 'Ian McKellen': 'Gandalf', 'Jason Fitch': 'Uruk 2', 'John Bach': 'Madril', 'Marton Csokas': 'Celeborn', 'Noel Appleby': 'Everard Proudfoot', 'Richard Edge': 'Gondorian Soldier 1', 'Sadwyn Brophy': 'Eldarion', 'Sean Astin': 'Sam', 'Sean Bean': 'Boromir'}","['Action', 'Adventure', 'Fantasy']"
Carlos,"{'Ahmad Kaabour': 'Wadie Haddad', 'Alejandro Arroyo': 'Dr. Valentín Hernández', 'Alexander Scheer': 'Johannes Weinrich', 'Aljoscha Stadelmann': ""Wilfred Böse 'Boni'"", 'Antoine Balabane': 'Général Al-Khouly', 'Christoph Bach': ""Hans-Joachim Klein 'Angie'"", 'Édgar Ramírez': ""Ilich Ramírez Sánchez, Aka 'Carlos'"", 'Fadi Abi Samra': 'Michel Moukharbel', 'Fadi Yanni Turk': 'Colonel Haïtham Saïd', 'Juana Acosta': 'Amie De Carlos', 'Julia Hummer': ""Gabriele Kröcher-Tiedemann 'Nada'"", 'Karam Ghossein': 'Feday Chez Wadie Haddad', 'Lamia Ahmed': 'Épouse Religieux Syrien', 'Liane Sellerer': 'Épouse Steff', 'Nora von Waldstätten': 'Magdalena Kopp', 'Philippe Tran': 'Feday Orly', 'Rami Farah': ""'Joseph'"", 'Rodney El Haddad': ""Anis Naccache 'Khalid'"", 'Talal El-Jordi': ""Kamal Al-Issawi 'Ali'"", 'Zeid Hamdan': ""'Youssef'"", 'Daniel Leconte': 'Producer', 'Jens Meurer': 'Producer', 'Judy Tossell': 'Executive Producer', 'Marc Wächter': 'In-House Line Producer: Egoli Tossell Film', 'Raphaël Cohen': 'Executive Producer', 'Undine Filter': 'Junior Producer'}","['Biography', 'Drama', 'History', 'Thriller', 'Crime']"
Marriage Story,"{'Adam Driver': 'Charlie', 'Alan Alda': 'Bert Spitz', 'Albert Jones': ""Donna's Husband"", 'Ayden Mayeri': 'Makeup Artist', 'Azhy Robertson': 'Henry', 'Brooke Bloom': 'Mary Ann', 'David Turner': 'Theater Actor', 'Eric Berryman': 'Theater Actor', 'Gideon Glick': 'Theater Actor', 'Julia Greer': 'Street Solicitor #1', 'Julie Hagerty': 'Sandra', 'Kyle Bornheimer': 'Ted', 'Laura Dern': 'Nora Fanshaw', ""Mark O'Brien"": 'Carter', 'Mary Hollis Inboden': 'Evaluator', 'Matthew Maher': 'Theater Actor', 'Merritt Wever': 'Cassie', 'Mickey Sumner': 'Beth', 'Ray Liotta': 'Jay', 'Robert Smigel': 'Mediator', 'Scarlett Johansson': 'Nicole', 'Wallace Shawn': 'Frank', 'Annie Hamilton': 'Becca', 'Jasmine Cephas Jones': 'Theater Actor', 'Martha Kelly': 'The Evaluator', 'Mary Wiseman': 'Theater Actor', 'Motell Gyn Foster': 'Theatre Actor', 'Pete Simpson': 'Theater Actor', 'Raymond J. Lee': 'Theater Actor'}","['Drama', 'Comedy', 'Romance']"
The French Connection,"{'Ann Rebbot': 'Marie Charnier', 'Arlene Farber': 'Angie Boca', 'Bill Hickman': 'Mulderig', 'Fernando Rey': 'Alain Charnier', 'Frédéric de Pasquale': 'Devereaux', 'Gene Hackman': 'Jimmy Doyle', 'Harold Gary': 'Weinstock', 'Marcel Bozzuffi': 'Pierre Nicoli', 'Roy Scheider': 'Det. Buddy Russo', 'Tony Lo Bianco': 'Sal Boca', 'André Ernotte': 'La Valle', 'Benny Marino': 'Lou Boca', 'Eddie Egan': 'Simonson', 'Patrick McDermott': 'Chemist', 'Sonny Grosso': 'Klein'}","['Action', 'Drama', 'Thriller', 'Crime']"
La La Land,"{'Emma Stone': 'Mia', 'J.K. Simmons': 'Boss', 'Rosemarie DeWitt': 'Laura', 'Ryan Gosling': 'Sebastian', 'Amanda Fields': 'Red Head Actress', 'Amiée Conn': 'Famous Actress', 'Ana Flavia Gavlak': 'Young Actress', 'Andres Perez-Molina': 'Coffee Shop Customer', 'Ashley Caple': 'The Beautiful Butterfly', 'Callie Hernandez': 'Tracy', 'Cameron Brinkman': 'Jazz Club Patron', 'Candice Coke': 'Girl 2', 'Christopher Aber': 'Cowboy', 'Cinda Adams': 'Casting Director (First Audition)', 'Claudine Claudio': 'Karen (Waitress)', 'D.A. Wallach': ""'80's Singer"", 'Finn Wittrock': 'Greg', 'Hemky Madera': 'Jimmy', 'Jason Fuchs': 'Carlo', 'Jessica Rothe': 'Alexis', 'John Legend': 'Keith', 'Jordan Ray Fox': 'Nathan', 'Josh Pence': 'Josh', 'Kaye L. Morris': ""Producer's Girlfriend"", 'Kc Monnie': 'Dancer', 'Kiff VandenHeuvel': 'New Coffee Shop Manager', 'Kristin Slaysman': 'Coffee Shop Customer', 'Margaret Newborn': 'Jazz Club Goer', 'Meagen Fay': ""Mia's Mom"", 'Miles Anderson': 'Photographer', 'Morgan Larson': 'Party Dancer', 'Nilla Watkins': 'Customer #1', 'Phillip E. Walker': 'Jazz Club Patron', 'Sandra Rosko': 'Dream Audience', 'Shannon Klein': 'Pretty Actress', 'Shannon Leann': 'Party Guest', 'Sonoya Mizuno': 'Caitlin', 'Terry Walters': 'Linda (Coffee Shop Manager)', 'Thom Shelton': 'Coffee Spiller', 'Tom Everett Scott': 'Cast', 'Trevor Lissauer': 'Valet', 'Zoë Hall': 'Chelsea'}","['Drama', 'Comedy', 'Romance', 'Musical']"
Faces Places,"{'Agnès Varda': 'Herself', 'Amaury Bossy': 'Himself', 'Claude Ferchal': 'Himself', 'Claude Flaert': 'Himself', 'J.R.': 'Himself', 'Jean-Luc Godard': 'Himself', 'Jean-Paul Beaujon': 'Himself', 'Jeannine Carpentier': 'Herself', 'JR': 'Himself', 'Laurent Levesque': ""Lettre 'O'"", 'Marie Douvet': 'Herself', 'Vincent Gils': 'Himself', 'Yves Boulen': 'Himself', 'Clemens Van Dungern': 'Himself', 'Morgane Riou': 'Herself', 'Nathalie Maurouard': 'Herself', 'Nathalie Schleehauf': 'Herself', 'Patricia Mercier': 'Herself', 'Pony-Soleil-Air-Sauvage-Nature': 'Himself'}",['Documentary']
"Crouching Tiger, Hidden Dragon","{'Michelle Yeoh': 'Yu Shu Lien', 'Yun-Fat Chow': 'Master Li Mu Bai', 'Ziyi Zhang': 'Jen Yu (Mandarin Version)/Jiao Long (English Dubbed Version)', 'Chen Chang': ""Lo 'Dark Cloud'/Luo Xiao Hu"", 'De Ming Wang': 'Police Inspector Tsai/Prefect Cai Qiu', 'Fa Zeng Li': 'Governor Yu', 'Jin Ting Zhang': 'De Lu', 'Kai Li': 'Gou Jun Pei', 'Li Li': 'May', 'Pei-pei Cheng': 'Jade Fox', 'Rei Yang': 'Maid', 'Sihung Lung': 'Sir Te', 'Su Ying Huang': 'Auntie Wu', 'Xian Gao': 'Bo', 'Yan Hai': 'Madame Yu'}","['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']"
Nomadland,"{'Angela Reyes': 'Angela', 'Bob Wells': 'Bob', 'Carl R. Hughes': 'Carl', 'David Strathairn': 'Principal Cast', 'Douglas G. Soul': 'Doug', 'Frances McDormand': 'Fern', 'Gay DeForest': 'Gay', 'Karie Lynn McDermott Wilder': 'Karie', 'Linda May': 'Linda', 'Patricia Grier': 'Patty', 'Ryan Aquino': 'Ryan', 'Swankie': 'Principal Cast', 'Teresa Buchanan': 'Teresa', 'Annette Webb': 'Annette', 'Annette Wells': 'Annette', 'Brandy Wilber': 'Brandy', 'Makenzie Etcheverry': 'Makenzie', 'Rachel Bannon': 'Rachel'}",['Drama']
Call Me by Your Name,"{'Amira Casar': 'Annella Perlman', 'Antonio Rimoldi': 'Anchiese', 'Armie Hammer': 'Oliver', 'Elena Bucci': 'Art Historian 1', 'Esther Garrel': 'Marzia', 'Marco Sgrosso': 'Art Historian 2', 'Michael Stuhlbarg': 'Mr. Perlman', 'Timothée Chalamet': 'Elio Perlman', 'Vanda Capriolo': 'Mafalda', 'Victoire Du Bois': 'Chiara', 'Andre Aciman': 'Mounir', 'Peter Spears': 'Isaac', 'Xhuliano Ujka': 'Alessandro'}","['Drama', 'Romance']"
The Magnificent Ambersons,"{'Agnes Moorehead': 'Fanny Minafer', 'Anne Baxter': 'Lucy Morgan', 'Dolores Costello': 'Isabel Amberson Minafer', 'Edwin August': 'Citizen', 'Erskine Sanford': 'Roger Bronson', 'Joseph Cotten': 'Eugene Morgan', 'Orson Welles': 'Narrator', 'Ray Collins': 'Jack Amberson', 'Richard Bennett': 'Major Amberson', 'Tim Holt': 'George Minafer', 'Georgia Backus': 'Matron', 'Harry A. Bailey': 'Citizen', 'Jack Baxley': 'Reverend Smith', 'Olive Ball': 'Mary - Maid', 'William Blees': 'Young Man At Accident'}","['Drama', 'Romance']"
Reversal of Fortune,"{'Glenn Close': 'Sunny Von Bülow/Narrator', 'Jeremy Irons': 'Claus Von Bülow', 'Alan Pottinger': ""Chuck, Dershowitz's Student Staff"", 'Annabella Sciorra': 'Sarah', 'Christine Baranski': ""Andrea Reynolds, Claus' Girlfriend"", 'Christine Dunford': 'Ellen', 'Felicity Huffman': ""Minnie, Dershowitz's Student Staff"", 'Fisher Stevens': 'David Marriott', 'Jack Gilpin': ""Peter MacIntosh, Dershowitz's Student Staff"", 'Johann Carlo': 'Nancy', 'Keith Reddin': ""Dobbs, Dershowitz's Student Staff"", 'Mano Singh': ""Raj, Dershowitz's Student Staff"", 'Ron Silver': 'Professor Alan Dershowitz', 'Stephen Mailer': 'Elon Dershowitz', 'Uta Hagen': ""Maria, Sunny's Personal Maid""}","['Drama', 'Mystery']"
David Byrne’s American Utopia,"{'David Byrne': 'Executive Producer', 'Alec Sash': 'Supervising Producer', 'Bill Pohlad': 'Executive Producer', 'Charlie Cohen': 'Executive Producer', 'Christa Zofcin Workman': 'Executive Producer', 'Dave Sirulnick': 'Executive Producer', 'David Bither': 'Executive Producer', 'David Linde': 'Executive Producer', 'Diane Weyermann': 'Executive Producer', 'Jeff Skoll': 'Executive Producer', 'Jon Kamen': 'Executive Producer', 'Kristin Caskey': 'Executive Producer', 'Kurt Deutsch': 'Executive Producer', 'Len Blavatnik': 'Executive Producer', 'Meredith Bennett': 'Executive Producer', 'Mike Isaacson': 'Executive Producer', 'Patrick Catullo': 'Executive Producer', 'Spike Lee': 'Executive Producer'}","['Music', 'Musical', 'Documentary']"
Shoplifters,"{'Akira Emoto': 'Cast', 'Chizuru Ikewaki': 'Kie Miyabe', 'Daisuke Kuroda': 'Principal Cast', 'Jyo Kairi': 'Shota Shibata', 'Kazuaki Shimizu': 'Cast', 'Kengo Kôra': 'Takumi Maezono', 'Kirin Kiki': 'Hatsue Shibata', 'Lily Franky': 'Osamu Shibata', 'Mayu Matsuoka': 'Aki Shibata', 'Miyu Sasaki': 'Yuri', 'Moemi Katayama': 'Principal Cast', 'Sakura Andô': 'Nobuyo Shibata', 'Sôsuke Ikematsu': '4 Ban-San', 'Yôko Moriguchi': 'Cast', 'Yûki Yamada': 'Cast', 'Aju Makita': 'Cast', 'Hajime Inoue': 'Cast', 'Izumi Matsuoka': 'Cast', 'Katsuya Maiguma': 'Cast', 'Naoto Ogata': 'Cast'}","['Drama', 'Crime']"
Shoah: Four Sisters,"{'Ada Lichtman': 'Herself', 'Claude Lanzmann': 'Himself - Interviewer', 'Hanna Marton': 'Herself', 'Paula Biren': 'Herself', 'Ruth Elias': 'Herself', 'David Frenkel': 'Producer'}","['History', 'Documentary']"
The 39 Steps,"{'Frank Cellier': 'The Sheriff', 'Godfrey Tearle': 'Professor Jordan', 'Gus McNaughton': 'Commercial Traveller', 'Helen Haye': 'Mrs. Jordan', 'John Laurie': 'Crofter', 'Lucie Mannheim': 'Miss Smith', 'Madeleine Carroll': 'Pamela', 'Peggy Ashcroft': ""Crofter's Wife"", 'Robert Donat': 'Hannay', 'Wylie Watson': 'Memory', 'Charles Bennett': 'Second Passerby Near The Bus', 'Ivor Barnard': 'Political Meeting Chairman', 'Jerry Verno': 'Commercial Traveller', 'Noel Birkin': 'Minor Role', 'Peggy Simpson': 'Maid'}","['Mystery', 'Thriller', 'Film-Noir']"
Duck Soup,"{'Chico Marx': 'Chicolini', 'Edmund Breese': 'Zander', 'Groucho Marx': 'Rufus T. Firefly', 'Harpo Marx': 'Pinky', 'Leonid Kinskey': 'Sylvanian Agitator', 'Louis Calhern': 'Ambassador Trentino', 'Margaret Dumont': 'Mrs. Gloria Teasdale', 'Raquel Torres': 'Vera Marcal', 'The Marx Brothers': 'Principal Cast', 'Zeppo Marx': 'Bob Roland', 'Charles Middleton': 'Prosecutor', 'Edgar Kennedy': 'Lemonade Vendor', 'Edward Arnold': 'Politician', 'Sidney Bracey': ""Mrs. Teasdale's Butler"", 'Wade Boteler': 'Officer At Battle Headquarters'}","['Comedy', 'War', 'Musical']"
Days of Heaven,"{'Brooke Adams': 'Abby', 'Richard Gere': 'Bill', 'Bob Wilson': 'Accountant', 'Doug Kershaw': 'Fiddler', 'Frenchie Lemond': 'Vaudeville Wrestler', 'Gene Bell': 'Dancer', 'Jackie Shultis': ""Linda's Friend"", 'Linda Manz': 'Linda', 'Muriel Jolliffe': 'Headmistress', 'Richard Libertini': 'Vaudeville Leader', 'Robert J. Wilke': 'The Farm Foreman', 'Sahbra Markus': 'Vaudeville Dancer', 'Sam Shepard': 'The Farmer', 'Stuart Margolin': 'Mill Foreman', 'Timothy Scott': 'Harvest Hand'}","['Drama', 'Romance']"
